year,month,average_month_temperature
1953,08,14.358
1953,09,12.713
1953,10,9.312
1953,11,7.910
1953,12,6.632
1954,01,3.366
1954,02,2.831
1954,03,5.503
1954,04,7.005
1954,05,10.156
1954,06,11.913
1954,07,12.638
1954,08,12.900
1954,09,11.186
1954,10,10.412
1954,11,6.592
1954,12,6.103
1955,01,2.744
1955,02,1.483
1955,03,3.425
1955,04,8.347
1955,05,8.700
1955,06,12.102
1955,07,15.427
1955,08,15.817
1955,09,12.979
1955,10,8.515
1955,11,7.175
1955,12,5.093
1956,01,3.434
1956,02,.935
1956,03,5.889
1956,04,6.091
1956,05,10.734
1956,06,11.708
1956,07,13.901
1956,08,12.062
1956,09,12.740
1956,10,8.887
1956,11,6.365
1956,12,5.747
1957,01,5.228
1957,02,4.869
1957,03,8.495
1957,04,8.003
1957,05,9.490
1957,06,13.293
1957,07,14.394
1957,08,13.684
1957,09,11.270
1957,10,9.766
1957,11,6.384
1957,12,4.526
1958,01,3.488
1958,02,4.291
1958,03,3.467
1958,04,6.776
1958,05,9.548
1958,06,12.089
1958,07,14.018
1958,08,14.097
1958,09,13.628
1958,10,10.036
1958,11,6.572
1958,12,4.397
1959,01,1.905
1959,02,4.587
1959,03,6.880
1959,04,8.101
1959,05,11.117
1959,06,13.293
1959,07,14.997
1959,08,15.288
1959,09,13.466
1959,10,11.265
1959,11,6.734
1959,12,5.441
1960,01,3.922
1960,02,3.755
1960,03,6.073
1960,04,8.182
1960,05,11.552
1960,06,14.123
1960,07,13.554
1960,08,13.516
1960,09,11.914
1960,10,9.452
1960,11,6.665
1960,12,3.650
1961,01,3.636
1961,02,6.590
1961,03,7.809
1961,04,8.587
1961,05,9.885
1961,06,12.723
1961,07,13.243
1961,08,13.681
1961,09,13.313
1961,10,9.840
1961,11,5.819
1961,12,2.465
1962,01,4.383
1962,02,4.610
1962,03,2.889
1962,04,6.910
1962,05,9.166
1962,06,12.215
1962,07,13.047
1962,08,12.875
1962,09,11.502
1962,10,9.841
1962,11,5.413
1962,12,2.909
1963,01,-.506
1963,02,.266
1963,03,5.671
1963,04,7.397
1963,05,9.382
